ID	FORM_ID	variant	variant_common_transcription	variant_common_segments	variant_ipa_segments
184	105	èoä(h)ko; èaä(h)kĕ; èoähkĕ	Eo'a(h)ko; Ea'a(h)kė; Eo'ahkė	E o ' a ( h ) k o ; # E a ' a ( h ) k ė ; # E o ' a h k ė	ɛ o ʔ a ( h ) k o ; # ɛ a ʔ a ( h ) k ə ; # ɛ o ʔ a h k ə
416	106	moä(h)ko; maä(h)kĕ; moä(h)kĕ	mo'a(h)ko; ma'a(h)kė; mo'a(h)kė	m o ' a ( h ) k o ; # m a ' a ( h ) k ė ; # m o ' a ( h ) k ė	m o ʔ a ( h ) k o ; # m a ʔ a ( h ) k ə ; # m o ʔ a ( h ) k ə
65	114	èabarie(j)o	Eabari(j)o	E a b a r i ( j ) o	ɛ a b a r i ( j ) o
64	115	èabaoekietaie	Eabaukitai	E a b a u k i t a i	ɛ a b a u k i t a i
72	124	èahabaoedĕ	Eahabaudė	E a h a b a u d ė	ɛ a h a b a u d ə
74	129	èahèdie(j)ĕ	EahEdi(j)ė	E a h E d i ( j ) ė	ɛ a h ɛ d i ( j ) ə
75	130	èahoefoq	Eahufo'	E a h u f o '	ɛ a h u f o ʔ
76	131	èahofè	EahofE	E a h o f E	ɛ a h o f ɛ
77	133	èajĕ	Eajė	E a j ė	ɛ a j ə
102	155	èfaoe(w)okĕ	Efau(w)okė	E f a u ( w ) o k ė	ɛ f a u ( w ) o k ə
61	162	è(a)kadoba	E(a)kadoba	E ( a ) k a d o b a	ɛ ( a ) k a d o b a
79	170	èamèamè	EamEamE	E a m E a m E	ɛ a m ɛ a m ɛ
80	172	èanèkahoe(w)a	EanEkahu(w)a	E a n E k a h u ( w ) a	ɛ a n ɛ k a h u ( w ) a
81	173	èanieha	Eaniha	E a n i h a	ɛ a n i ç a
67	181	èafama	Eafama	E a f a m a	ɛ a f a m a
68	182	èafaq	Eafa'	E a f a '	ɛ a f a ʔ
66	183	èafala	Eafala	E a f a l a	ɛ a f a l a
69	184	èafĕ	Eafė	E a f ė	ɛ a f ə
70	185	èafoe	Eafu	E a f u	ɛ a f u
71	186	èafoe èkoe(w)ĕ	Eafu Eku(w)ė	E a f u # E k u ( w ) ė	ɛ a f u # ɛ k u ( w ) ə
172	193	èmanè	EmanE	E m a n E	ɛ m a n ɛ
9	195	(oe)kiaroboe	(u)kiarobu	( u ) k i a r o b u	( u ) k i a r o b u
27	198	afĕ	afė	a f ė	a f ə
294	199	kaära	ka'ara	k a ' a r a	k a ʔ a r a
82	201	èaraä(q)ko(w)ah	Eara'a(')ko(w)ah	E a r a ' a ( ' ) k o ( w ) a h	ɛ a r a ʔ a ( ʔ ) k o ( w ) a h
78	205	èalopa	Ealopa	E a l o p a	ɛ a l o p a
83	207	èatara	Eatara	E a t a r a	ɛ a t a r a
84	215	èbaka: èoewĕ	Ebaka: Euwė	E b a k a : # E u w ė	ɛ b a k a : # ɛ u w ə
391	217	kietaie	kitai	k i t a i	k i t a i
85	226	èboeèparaqwĕ	EbuEpara'wė	E b u E p a r a ' w ė	ɛ b u ɛ p a r a ʔ w ə
86	228	èboqaboqĕ	Ebo'abo'ė	E b o ' a b o ' ė	ɛ b o ʔ a b o ʔ ə
160	229	èlaba	Elaba	E l a b a	ɛ l a b a
230	230	ètaboeho; ètafoehĕ	Etabuho; Etafuhė	E t a b u h o ; # E t a f u h ė	ɛ t a b u h o ; # ɛ t a f u h ə
231	231	ètaboeho; ètafoehĕ	Etabuho; Etafuhė	E t a b u h o ; # E t a f u h ė	ɛ t a b u h o ; # ɛ t a f u h ə
144	237	èkietaie	Ekitai	E k i t a i	ɛ k i t a i
193	238	èoeloe	Eulu	E u l u	ɛ u l u
194	241	èoeloe	Eulu	E u l u	ɛ u l u
161	242	èlahajo	Elahajo	E l a h a j o	ɛ l a h a j o
163	243	èlahèboeäo	ElahEbu'ao	E l a h E b u ' a o	ɛ l a h ɛ b u ʔ a o
164	245	èlèabĕ	ElEabė	E l E a b ė	ɛ l ɛ a b ə
89	246	èdiehaoe	Edihau	E d i h a u	ɛ d i ç a u
227	248	èrieho	Eriho	E r i h o	ɛ r i ç o
87	249	èdèja	EdEja	E d E j a	ɛ d ɛ j a
165	250	èlie(j)ĕ	Eli(j)ė	E l i ( j ) ė	ɛ l i ( j ) ə
166	251	èlieie(j)ĕ	Elii(j)ė	E l i i ( j ) ė	ɛ l i i ( j ) ə
167	257	èloboe	Elobu	E l o b u	ɛ l o b u
168	258	èloboe kanapoe(w)a	Elobu kanapu(w)a	E l o b u # k a n a p u ( w ) a	ɛ l o b u # k a n a p u ( w ) a
90	259	èdorie	Edori	E d o r i	ɛ d o r i
228	260	èroehoekie(j)aq	Eruhuki(j)a'	E r u h u k i ( j ) a '	ɛ r u h u k i ( j ) a ʔ
183	261	ènohaie	Enohai	E n o h a i	ɛ n o h a i
88	262	èdĕhoie; èdjĕhoie	Edėhoi; Ejėhoi	E d ė h o i ; # E j ė h o i	ɛ d ə h o i ; # ɛ d͡ʒ ə h o i
342	263	kiedĕhoie; kiedjĕhoie	kidėhoi; kijėhoi	k i d ė h o i ; # k i j ė h o i	k i d ə h o i ; # k i d͡ʒ ə h o i
170	264	èlolèlolè	ElolElolE	E l o l E l o l E	ɛ l o l ɛ l o l ɛ
280	267	iedopo; ètofo; ietofo	idopo; Etofo; itofo	i d o p o ; # E t o f o ; # i t o f o	i d o p o ; # ɛ t o f o ; # i t o f o
229	268	èroforofo	Eroforofo	E r o f o r o f o	ɛ r o f o r o f o
171	269	èloro	Eloro	E l o r o	ɛ l o r o
93	272	èèlako	EElako	E E l a k o	ɛ ɛ l a k o
95	284	èènono: oefĕ	EEnono: ufė	E E n o n o : # u f ė	ɛ ɛ n o n o : # u f ə
430	285	oeèfĕ	uEfė	u E f ė	u ɛ f ə
96	286	èèolie	EEoli	E E o l i	ɛ ɛ o l i
97	287	èèolieoekoewĕ	EEoliukuwė	E E o l i u k u w ė	ɛ ɛ o l i u k u w ə
92	290	èèfĕ	EEfė	E E f ė	ɛ ɛ f ə
114	291	èhabarie(j)ĕ	Ehabari(j)ė	E h a b a r i ( j ) ė	ɛ h a b a r i ( j ) ə
117	294	èhaiefoe	Ehaifu	E h a i f u	ɛ h a i f u
116	299	èhaĕ	Ehaė	E h a ė	ɛ h a ə
118	302	èhèafo	EhEafo	E h E a f o	ɛ h ɛ a f o
119	304	èhèie(j)ĕ	EhEi(j)ė	E h E i ( j ) ė	ɛ h ɛ i ( j ) ə
115	306	èhaèkoe(q)	EhaEku(')	E h a E k u ( ' )	ɛ h a ɛ k u ( ʔ )
410	307	mahaèkoe(q)	mahaEku(')	m a h a E k u ( ' )	m a h a ɛ k u ( ʔ )
120	308	èhèkoe(q)wĕ	EhEku(')wė	E h E k u ( ' ) w ė	ɛ h ɛ k u ( ʔ ) w ə
123	317	èhöarie	Ehu̇ari	E h u̇ a r i	ɛ h ɨ a r i
411	318	mahöarie	mahu̇ari	m a h u̇ a r i	m a h ɨ a r i
122	320	èho(w)afĕ	Eho(w)afė	E h o ( w ) a f ė	ɛ h o ( w ) a f ə
91	335	èèdjie; èietjie	EEji; Eici	E E j i ; # E i c i	ɛ ɛ d͡ʒ i ; # ɛ i t͡ʃ i
24	336	aèdjie	aEji	a E j i	a ɛ d͡ʒ i
126	339	èieieoeloe	Eiiulu	E i i u l u	ɛ i i u l u
124	342	èie(j)obĕ	Ei(j)obė	E i ( j ) o b ė	ɛ i ( j ) o b ə
125	347	èiefĕ	Eifė	E i f ė	ɛ i f ə
38	356	aniemaie	animai	a n i m a i	a n i m a i
277	358	ie(j)araq	i(j)ara'	i ( j ) a r a '	i ( j ) a r a ʔ
278	359	ie(j)araq noeha	i(j)ara' nuha	i ( j ) a r a ' # n u h a	i ( j ) a r a ʔ # n u h a
135	369	èkaraha(q)	Ekaraha(')	E k a r a h a ( ' )	ɛ k a r a h a ( ʔ )
136	370	èkarieorie	Ekariori	E k a r i o r i	ɛ k a r i o r i
128	371	èkadieofè	EkadiofE	E k a d i o f E	ɛ k a d i o f ɛ
2	377	(è)kaèq	(E)kaE'	( E ) k a E '	( ɛ ) k a ɛ ʔ
129	388	èkaie(oe)lahoe(hoe); èkaèdaho; èkaèlaho	Ekai(u)lahu(hu); EkaEdaho; EkaElaho	E k a i ( u ) l a h u ( h u ) ; # E k a E d a h o ; # E k a E l a h o	ɛ k a i ( u ) l a h u ( h u ) ; # ɛ k a ɛ d a h o ; # ɛ k a ɛ l a h o
130	389	èkajoqfèdjie	Ekajo'fEji	E k a j o ' f E j i	ɛ k a j o ʔ f ɛ d͡ʒ i
131	390	èkakorèie(j)ĕ	EkakorEi(j)ė	E k a k o r E i ( j ) ė	ɛ k a k o r ɛ i ( j ) ə
127	398	èk(a)oeqfanoe	Ek(a)u'fanu	E k ( a ) u ' f a n u	ɛ k ( a ) u ʔ f a n u
134	399	èkaoe(w)ĕ	Ekau(w)ė	E k a u ( w ) ė	ɛ k a u ( w ) ə
139	405	èkĕlèpè; èkalèpè	EkėlEpE; EkalEpE	E k ė l E p E ; # E k a l E p E	ɛ k ə l ɛ p ɛ ; # ɛ k a l ɛ p ɛ
132	407	èkaliehĕ	Ekalihė	E k a l i h ė	ɛ k a l i ç ə
133	408	èkaliehĕ oe(w)afĕ	Ekalihė u(w)afė	E k a l i h ė # u ( w ) a f ė	ɛ k a l i ç ə # u ( w ) a f ə
137	411	èkèèfa	EkEEfa	E k E E f a	ɛ k ɛ ɛ f a
344	412	kieèèfa	kiEEfa	k i E E f a	k i ɛ ɛ f a
140	422	èkieafĕ	Ekiafė	E k i a f ė	ɛ k i a f ə
146	423	èkietapè(j)a	EkitapE(j)a	E k i t a p E ( j ) a	ɛ k i t a p ɛ ( j ) a
147	424	èkietiebèie(j)oq	EkitibEi(j)o'	E k i t i b E i ( j ) o '	ɛ k i t i b ɛ i ( j ) o ʔ
145	425	èkietaie; èkiedaie	Ekitai; Ekidai	E k i t a i ; # E k i d a i	ɛ k i t a i ; # ɛ k i d a i
138	435	èkèhèö(j)a	EkEhEu̇(j)a	E k E h E u̇ ( j ) a	ɛ k ɛ h ɛ ɨ ( j ) a
142	438	èkieie(j)ĕ	Ekii(j)ė	E k i i ( j ) ė	ɛ k i i ( j ) ə
157	455	èkorie(j)o	Ekori(j)o	E k o r i ( j ) o	ɛ k o r i ( j ) o
149	456	èkoedaäjo	Ekuda'ajo	E k u d a ' a j o	ɛ k u d a ʔ a j o
155	460	èkoha	Ekoha	E k o h a	ɛ k o h a
151	467	èkoepadĕ	Ekupadė	E k u p a d ė	ɛ k u p a d ə
148	470	èkoe(w)ĕ	Eku(w)ė	E k u ( w ) ė	ɛ k u ( w ) ə
156	479	èkoöq	Eko'o'	E k o ' o '	ɛ k o ʔ o ʔ
158	487	èkoropie(j)oèoeloe	Ekoropi(j)uulu	E k o r o p i ( j ) u u l u	ɛ k o r o p i ( j ) u u l u
152	489	èkoèèq	EkuE'	E k u E '	ɛ k u ɛ ʔ
153	490	èkoèèq	EkuE'	E k u E '	ɛ k u ɛ ʔ
276	492	ie(j)akafieta	i(j)akafita	i ( j ) a k a f i t a	i ( j ) a k a f i t a
435	494	oehoeqkoe(w)ĕ	uhu'ku(w)ė	u h u ' k u ( w ) ė	u h u ʔ k u ( w ) ə
154	496	èkoèèq	EkuE'	E k u E '	ɛ k u ɛ ʔ
159	497	èlaäfoe(w)a	Ela'afu(w)a	E l a ' a f u ( w ) a	ɛ l a ʔ a f u ( w ) a
162	498	èlahaoe	Elahau	E l a h a u	ɛ l a h a u
173	499	èmanè	EmanE	E m a n E	ɛ m a n ɛ
169	504	èloho	Eloho	E l o h o	ɛ l o h o
174	506	èmanè	EmanE	E m a n E	ɛ m a n ɛ
176	507	èmènahoe(w)a	EmEnahu(w)a	E m E n a h u ( w ) a	ɛ m ɛ n a h u ( w ) a
175	509	èmèaö	EmEa'o	E m E a ' o	ɛ m ɛ a ʔ o
177	514	èmoöie(j)ĕ	Emo'oi(j)ė	E m o ' o i ( j ) ė	ɛ m o ʔ o i ( j ) ə
178	516	ènaè(na): oe(w)afĕ	EnaE(na): u(w)afė	E n a E ( n a ) : # u ( w ) a f ė	ɛ n a ɛ ( n a ) : # u ( w ) a f ə
181	520	ènapĕ	Enapė	E n a p ė	ɛ n a p ə
179	521	ènafienafie	Enafinafi	E n a f i n a f i	ɛ n a f i n a f i
180	522	ènafienie	Enafini	E n a f i n i	ɛ n a f i n i
182	530	ènoĕ	Enoė	E n o ė	ɛ n o ə
205	537	èorie	Eori	E o r i	ɛ o r i
42	538	apieha èoriedie(j)ĕ	apiha Eoridi(j)ė	a p i h a # E o r i d i ( j ) ė	a p i ç a # ɛ o r i d i ( j ) ə
206	539	èorieaäq	Eoria'a'	E o r i a ' a '	ɛ o r i a ʔ a ʔ
57	540	borieaäq	boria'a'	b o r i a ' a '	b o r i a ʔ a ʔ
315	541	kahohoriaäq	kahohoria'a'	k a h o h o r i a ' a '	k a h o h o r i a ʔ a ʔ
207	542	èoriöka	Eori'oka	E o r i ' o k a	ɛ o r i ʔ o k a
208	546	èoroe	Eoru	E o r u	ɛ o r u
209	547	èorohèie	EorohEi	E o r o h E i	ɛ o r o h ɛ i
188	548	èoebĕ	Eubė	E u b ė	ɛ u b ə
189	549	èoebĕ: èkaèn	Eubė: EkaEn	E u b ė : # E k a E n	ɛ u b ə : # ɛ k a ɛ n
141	550	èkiearoboe	Ekiarobu	E k i a r o b u	ɛ k i a r o b u
185	551	èobo	Eobo	E o b o	ɛ o b o
334	553	kèèèfĕ	kEEEfė	k E E E f ė	k ɛ ɛ ɛ f ə
195	556	èoeloe	Eulu	E u l u	ɛ u l u
196	557	èoeloe bèlo(w)a	Eulu bElo(w)a	E u l u # b E l o ( w ) a	ɛ u l u # b ɛ l o ( w ) a
192	563	èoekoeriepo	Eukuripo	E u k u r i p o	ɛ u k u r i p o
197	569	èoemĕ	Eumė	E u m ė	ɛ u m ə
198	573	èoeoe(w)afĕ	Eu'u(w)afė	E u ' u ( w ) a f ė	ɛ u ʔ u ( w ) a f ə
190	575	èoefĕ	Eufė	E u f ė	ɛ u f ə
199	576	èoepoeie(j)ĕ	Eupui(j)ė	E u p u i ( j ) ė	ɛ u p u i ( j ) ə
200	577	èoepoeqoe(w)ĕ	Eupu'u(w)ė	E u p u ' u ( w ) ė	ɛ u p u ʔ u ( w ) ə
191	578	èoefoe(w)a	Eufu(w)a	E u f u ( w ) a	ɛ u f u ( w ) a
186	580	èoe(w)aè; èè(w)aie; èè(w)aè	Eu(w)aE; EE(w)ai; EE(w)aE	E u ( w ) a E ; # E E ( w ) a i ; # E E ( w ) a E	ɛ u ( w ) a ɛ ; # ɛ ɛ ( w ) a i ; # ɛ ɛ ( w ) a ɛ
187	582	èoe(w)afĕ; èè(w)apo; èèwafĕ	Eu(w)afė; EE(w)apo; EEwafė	E u ( w ) a f ė ; # E E ( w ) a p o ; # E E w a f ė	ɛ u ( w ) a f ə ; # ɛ ɛ ( w ) a p o ; # ɛ ɛ w a f ə
63	584	è(o)horaoekèèfa	E(o)horaukEEfa	E ( o ) h o r a u k E E f a	ɛ ( o ) h o r a u k ɛ ɛ f a
202	586	èokahaĕ	Eokahaė	E o k a h a ė	ɛ o k a h a ə
203	592	èokoehèoeloe	EokuhEulu	E o k u h E u l u	ɛ o k u h ɛ u l u
204	595	èokofie	Eokofi	E o k o f i	ɛ o k o f i
201	608	èofoe	Eofu	E o f u	ɛ o f u
98	622	èfaèfa	EfaEfa	E f a E f a	ɛ f a ɛ f a
94	625	èèlako	EElako	E E l a k o	ɛ ɛ l a k o
210	627	èpahoahoäq	Epahoaho'a'	E p a h o a h o ' a '	ɛ p a h o a h o ʔ a ʔ
99	633	èfakoehè	EfakuhE	E f a k u h E	ɛ f a k u h ɛ
211	635	èpak(a)(w)ĕ	Epak(a)(w)ė	E p a k ( a ) ( w ) ė	ɛ p a k ( a ) ( w ) ə
100	636	èfalè; èparè	EfalE; EparE	E f a l E ; # E p a r E	ɛ f a l ɛ ; # ɛ p a r ɛ
101	638	èfanoe	Efanu	E f a n u	ɛ f a n u
212	640	èpanĕma; èfanĕma	Epanėma; Efanėma	E p a n ė m a ; # E f a n ė m a	ɛ p a n ə m a ; # ɛ f a n ə m a
103	642	èfaofĕ	Efaofė	E f a o f ė	ɛ f a o f ə
104	643	èfaoqöqaie	Efao'u̇'ai	E f a o ' u̇ ' a i	ɛ f a o ʔ ɨ ʔ a i
105	645	èfèa	EfEa	E f E a	ɛ f ɛ a
213	649	èpèdoe(w)a(ö); èfèlo(w)a(ö)	EpEdu(w)a('o); EfElo(w)a('o)	E p E d u ( w ) a ( ' o ) ; # E f E l o ( w ) a ( ' o )	ɛ p ɛ d u ( w ) a ( ʔ o ) ; # ɛ f ɛ l o ( w ) a ( ʔ o )
106	650	èfèhè	EfEhE	E f E h E	ɛ f ɛ h ɛ
214	654	èpĕrhaoedie	Epėrhaudi	E p ė r h a u d i	ɛ p ə r h a u d i
215	657	èpieaoe(w)afĕ	Epiau(w)afė	E p i a u ( w ) a f ė	ɛ p i a u ( w ) a f ə
216	660	èpiedjoeafĕ	Epijuafė	E p i j u a f ė	ɛ p i d͡ʒ u a f ə
107	662	èfie(j)ĕ	Efi(j)ė	E f i ( j ) ė	ɛ f i ( j ) ə
108	663	èfie(j)ofie(j)ĕ	Efi(j)ofi(j)ė	E f i ( j ) o f i ( j ) ė	ɛ f i ( j ) o f i ( j ) ə
110	666	èfieniefie	Efinifi	E f i n i f i	ɛ f i n i f i
109	667	èfiefie	Efifi	E f i f i	ɛ f i f i
60	669	epoeaoe	epuau	e p u a u	e p u a u
220	671	èpoeroe	Epuru	E p u r u	ɛ p u r u
112	674	èfoekĕ	Efukė	E f u k ė	ɛ f u k ə
219	678	èpoe(oe)qoe: oe(w)afĕ	Epu(u)'u: u(w)afė	E p u ( u ) ' u : # u ( w ) a f ė	ɛ p u ( u ) ʔ u : # u ( w ) a f ə
221	680	èpoeroeroe(ie)	Epururu(i)	E p u r u r u ( i )	ɛ p u r u r u ( i )
223	681	èpoeroeroe(ie): èoeloe	Epururu(i): Eulu	E p u r u r u ( i ) : # E u l u	ɛ p u r u r u ( i ) : # ɛ u l u
222	683	èpoeroeroe(ie)	Epururu(i)	E p u r u r u ( i )	ɛ p u r u r u ( i )
224	684	èpoeroeroe(ie): waniemaie	Epururu(i): wanimai	E p u r u r u ( i ) : # w a n i m a i	ɛ p u r u r u ( i ) : # w a n i m a i
437	686	oekèoq	ukEo'	u k E o '	u k ɛ o ʔ
217	687	èpoe(ah)ha	Epu(ah)ha	E p u ( a h ) h a	ɛ p u ( a h ) h a
111	688	èfo(h)	Efo(h)	E f o ( h )	ɛ f o ( h )
113	690	èfoko	Efoko	E f o k o	ɛ f o k o
225	691	èponanamie	Eponanami	E p o n a n a m i	ɛ p o n a n a m i
218	692	èpoe(oe)kaha	Epu(u)kaha	E p u ( u ) k a h a	ɛ p u ( u ) k a h a
226	693	èpopoökie	Epopo'oki	E p o p o ' o k i	ɛ p o p o ʔ o k i
285	698	ietèbè	itEbE	i t E b E	i t ɛ b ɛ
232	699	èwakieföro	Ewakifu̇ro	E w a k i f u̇ r o	ɛ w a k i f ɨ r o
270	712	hèlapiehie	hElapihi	h E l a p i h i	h ɛ l a p i ç i
271	722	hobaäoe(w)ĕ	hoba'au(w)ė	h o b a ' a u ( w ) ė	h o b a ʔ a u ( w ) ə
428	724	obèèaĕ	obEEaė	o b E E a ė	o b ɛ ɛ a ə
275	728	horiekie	horiki	h o r i k i	h o r i k i
274	731	hokoä	hoko'a	h o k o ' a	h o k o ʔ a
272	739	hofaie	hofai	h o f a i	h o f a i
269	748	haie(j)aha	hai(j)aha	h a i ( j ) a h a	h a i ( j ) a h a
283	754	ienoie	inoi	i n o i	i n o i
281	760	iekoedaha	ikudaha	i k u d a h a	i k u d a h a
282	762	ienaou(w)ĕ	inaou(w)ė	i n a o u ( w ) ė	i n a o u ( w ) ə
413	763	manoenoeq	manunu'	m a n u n u '	m a n u n u ʔ
279	767	iedjo	ijo	i j o	i d͡ʒ o
287	772	kaä(ä)ou(w)ĕ	ka'a(ʔa)ou(w)ė	k a ' a ( ʔ a ) o u ( w ) ė	k a ʔ a ( ʔ a ) o u ( w ) ə
295	773	kaärahĕaie	ka'arahėai	k a ' a r a h ė a i	k a ʔ a r a h ə a i
288	775	kaädoie(j)ĕ; kaäroie(j)ĕ	ka'adoi(j)ė; ka'aroi(j)ė	k a ' a d o i ( j ) ė ; # k a ' a r o i ( j ) ė	k a ʔ a d o i ( j ) ə ; # k a ʔ a r o i ( j ) ə
290	784	kaäkènè; kakanie(q)	ka'akEnE; kakani(')	k a ' a k E n E ; # k a k a n i ( ' )	k a ʔ a k ɛ n ɛ ; # k a k a n i ( ʔ )
291	785	kaäkieniefĕ	ka'akinifė	k a ' a k i n i f ė	k a ʔ a k i n i f ə
293	791	kaäpĕaäaq	ka'apėa'aa'	k a ' a p ė a ' a a '	k a ʔ a p ə a ʔ a a ʔ
289	792	kaäfoho	ka'afoho	k a ' a f o h o	k a ʔ a f o h o
296	795	kabĕhao	kabėhao	k a b ė h a o	k a b ə h a o
297	803	kaboe(w)ĕboe(w)ĕ	kabu(w)ėbu(w)ė	k a b u ( w ) ė b u ( w ) ė	k a b u ( w ) ə b u ( w ) ə
317	805	kalèalèa	kalEalEa	k a l E a l E a	k a l ɛ a l ɛ a
328	808	kariehie	karihi	k a r i h i	k a r i ç i
298	809	kadiekofĕ	kadikofė	k a d i k o f ė	k a d i k o f ə
305	824	kahafa	kahafa	k a h a f a	k a h a f a
314	825	kahoho	kahoho	k a h o h o	k a h o h o
308	828	kahaienoeafĕ	kahainuafė	k a h a i n u a f ė	k a h a i n u a f ə
309	831	kahakoudĕ	kahakoudė	k a h a k o u d ė	k a h a k o u d ə
310	833	kahao: èmanè	kahao: EmanE	k a h a o : # E m a n E	k a h a o : # ɛ m a n ɛ
311	836	kahaokĕ	kahaokė	k a h a o k ė	k a h a o k ə
306	837	kahafaq	kahafa'	k a h a f a '	k a h a f a ʔ
307	838	kahafie	kahafi	k a h a f i	k a h a f i
121	842	èhèlo	EhElo	E h E l o	ɛ h ɛ l o
312	847	kahiefĕ	kahifė	k a h i f ė	k a h i f ə
313	849	kahoefĕhoefoö	kahufėhufo'o	k a h u f ė h u f o ' o	k a h u f ə h u f o ʔ o
316	854	kaie(j)ĕnono	kai(j)ėnono	k a i ( j ) ė n o n o	k a i ( j ) ə n o n o
455	861	pĕkakanaka	pėkakanaka	p ė k a k a n a k a	p ə k a k a n a k a
319	882	kamoefie	kamufi	k a m u f i	k a m u f i
412	890	manèko	manEko	m a n E k o	m a n ɛ k o
320	894	kanèfoe	kanEfu	k a n E f u	k a n ɛ f u
321	896	kaniehie(j)aniehie(j)a	kanihi(j)anihi(j)a	k a n i h i ( j ) a n i h i ( j ) a	k a n i ç i ( j ) a n i ç i ( j ) a
324	907	kaoedara	kaudara	k a u d a r a	k a u d a r a
326	908	kaoerahjĕ	kaurahjė	k a u r a h j ė	k a u r a h j ə
325	912	kaoefè(q)	kaufE(')	k a u f E ( ' )	k a u f ɛ ( ʔ )
323	913	kaoe(w)ĕ	kau(w)ė	k a u ( w ) ė	k a u ( w ) ə
292	917	kaäöbo	ka'au̇bo	k a ' a u̇ b o	k a ʔ a ɨ b o
327	918	kaoöèèdjie	kao'oEEji	k a o ' o E E j i	k a o ʔ o ɛ ɛ d͡ʒ i
300	921	kafal	kafal	k a f a l	k a f a l
301	922	kafàl afi	kafal afi	k a f a l # a f i	k a f a l # a f i
302	924	kafĕrafĕraba	kafėrafėraba	k a f ė r a f ė r a b a	k a f ə r a f ə r a b a
303	928	kafoekĕ	kafukė	k a f u k ė	k a f u k ə
304	931	kafofo	kafofo	k a f o f o	k a f o f o
337	932	kĕfofo	kėfofo	k ė f o f o	k ə f o f o
318	938	kaliepoliepo	kalipolipo	k a l i p o l i p o	k a l i p o l i p o
329	940	karohajĕ	karohajė	k a r o h a j ė	k a r o h a j ə
335	952	kèhorojo	kEhorojo	k E h o r o j o	k ɛ h o r o j o
8	962	(è)kiadoboe; (è)kiaroboe	(E)kiadobu; (E)kiarobu	( E ) k i a d o b u ; # ( E ) k i a r o b u	( ɛ ) k i a d o b u ; # ( ɛ ) k i a r o b u
